src_port,dst_port,ip_version,protocol,duration,packet_count,total_bytes,avg_packet_size,packets_per_sec,syn_count,ack_count,fin_count,rst_count,label
0,0,4,OTHER,594.513,91,5460,60.0,0.15,0,0,0,0,0
0,0,6,OTHER,594.535,206,20280,98.45,0.35,0,0,0,0,0
0,0,4,OTHER,595.411,196,11964,61.04,0.33,0,0,0,0,0
0,0,6,OTHER,595.019,185,23850,128.92,0.31,0,0,0,0,0
0,0,4,OTHER,594.342,90,5092,56.58,0.15,0,0,0,0,0
0,0,6,OTHER,594.253,114,13120,115.09,0.19,0,0,0,0,0
5353,5353,4,UDP,580.405,26,3094,119.0,0.04,0,0,0,0,0
53,50197,4,UDP,0.05,2,296,148.0,40.04,0,0,0,0,0
80,44232,4,TCP,0.519,9,882,98.0,17.36,2,8,2,0,0
53,47703,4,UDP,0.217,2,281,140.5,9.24,0,0,0,0,0
53,44269,4,UDP,0.2,2,228,114.0,10.0,0,0,0,0,0
53,41301,4,UDP,0.198,2,240,120.0,10.1,0,0,0,0,0
48882,443,6,TCP,0.001,1,94,94.0,1000.0,1,0,0,0,0
48894,443,6,TCP,0.001,1,94,94.0,1000.0,1,0,0,0,0
41952,443,4,TCP,180.06,60,14956,249.27,0.33,2,59,2,0,0
41964,443,4,TCP,0.817,22,5388,244.91,26.94,2,21,2,0,0
57621,57621,4,UDP,240.946,9,774,86.0,0.04,0,0,0,0,0
53,41789,4,UDP,0.175,2,301,150.5,11.44,0,0,0,0,0
53,36362,4,UDP,0.158,2,313,156.5,12.68,0,0,0,0,0
53,38473,4,UDP,0.214,2,375,187.5,9.35,0,0,0,0,0
53,44593,4,UDP,0.381,2,319,159.5,5.25,0,0,0,0,0
34588,80,6,TCP,35.976,10,940,94.0,0.28,10,0,0,0,0
41496,80,4,TCP,174.278,43,4052,94.23,0.25,2,42,2,0,0
0,0,6,OTHER,477.641,4,360,90.0,0.01,0,0,0,0,0
68,67,4,UDP,0.001,1,348,348.0,1000.0,0,0,0,0,0
